"","hydrophobicity.Group1","hydrophobicity.Group2","hydrophobicity.Group3","normwaalsvolume.Group1","normwaalsvolume.Group2","normwaalsvolume.Group3","polarity.Group1","polarity.Group2","polarity.Group3","polarizability.Group1","polarizability.Group2","polarizability.Group3","charge.Group1","charge.Group2","charge.Group3","secondarystruct.Group1","secondarystruct.Group2","secondarystruct.Group3","solventaccess.Group1","solventaccess.Group2","solventaccess.Group3"
"6OAUC",0.389312977099237,0.381679389312977,0.229007633587786,0.50381679389313,0.358778625954198,0.137404580152672,0.244274809160305,0.33587786259542,0.419847328244275,0.374045801526718,0.488549618320611,0.137404580152672,0.0687022900763359,0.709923664122137,0.221374045801527,0.389312977099237,0.305343511450382,0.305343511450382,0.290076335877863,0.389312977099237,0.320610687022901
"5LSID",0.373134328358209,0.373134328358209,0.253731343283582,0.388059701492537,0.335820895522388,0.276119402985075,0.261194029850746,0.328358208955224,0.41044776119403,0.350746268656716,0.373134328358209,0.276119402985075,0.156716417910448,0.716417910447761,0.126865671641791,0.544776119402985,0.156716417910448,0.298507462686567,0.335820895522388,0.373134328358209,0.291044776119403
"1XIPA",0.311855670103093,0.342783505154639,0.345360824742268,0.38659793814433,0.43298969072165,0.180412371134021,0.36340206185567,0.314432989690722,0.322164948453608,0.329896907216495,0.489690721649485,0.180412371134021,0.0747422680412371,0.780927835051546,0.144329896907216,0.373711340206186,0.306701030927835,0.319587628865979,0.425257731958763,0.311855670103093,0.262886597938144
"6DK9A",0.282051282051282,0.405982905982906,0.311965811965812,0.414529914529915,0.363247863247863,0.222222222222222,0.35042735042735,0.341880341880342,0.307692307692308,0.346153846153846,0.431623931623932,0.222222222222222,0.0897435897435897,0.799145299145299,0.111111111111111,0.376068376068376,0.341880341880342,0.282051282051282,0.435897435897436,0.282051282051282,0.282051282051282
"3S8IA",0.27027027027027,0.371621621621622,0.358108108108108,0.378378378378378,0.364864864864865,0.256756756756757,0.371621621621622,0.297297297297297,0.331081081081081,0.310810810810811,0.432432432432432,0.256756756756757,0.0945945945945946,0.824324324324324,0.0810810810810811,0.459459459459459,0.263513513513513,0.277027027027027,0.452702702702703,0.27027027027027,0.277027027027027
"7MY4A",0.337837837837838,0.378378378378378,0.283783783783784,0.364864864864865,0.378378378378378,0.256756756756757,0.310810810810811,0.324324324324324,0.364864864864865,0.297297297297297,0.445945945945946,0.256756756756757,0.108108108108108,0.72972972972973,0.162162162162162,0.5,0.22972972972973,0.27027027027027,0.445945945945946,0.337837837837838,0.216216216216216
"5YF4A",0.320987654320988,0.345679012345679,0.333333333333333,0.345679012345679,0.351851851851852,0.302469135802469,0.376543209876543,0.253086419753086,0.37037037037037,0.253086419753086,0.444444444444444,0.302469135802469,0.117283950617284,0.759259259259259,0.123456790123457,0.450617283950617,0.327160493827161,0.222222222222222,0.395061728395062,0.320987654320988,0.283950617283951
"3WVZA",0.243781094527363,0.402985074626866,0.353233830845771,0.407960199004975,0.358208955223881,0.233830845771144,0.378109452736318,0.368159203980099,0.253731343283582,0.338308457711443,0.427860696517413,0.233830845771144,0.054726368159204,0.875621890547264,0.0696517412935323,0.36318407960199,0.308457711442786,0.328358208955224,0.467661691542289,0.243781094527363,0.288557213930348
"4BJ1A",0.329153605015674,0.316614420062696,0.35423197492163,0.300940438871473,0.413793103448276,0.285266457680251,0.401253918495298,0.247648902821317,0.351097178683386,0.266457680250784,0.448275862068966,0.285266457680251,0.115987460815047,0.777429467084639,0.106583072100313,0.410658307210031,0.313479623824451,0.275862068965517,0.379310344827586,0.329153605015674,0.29153605015674
"5XQHA",0.32089552238806,0.33955223880597,0.33955223880597,0.350746268656716,0.42910447761194,0.220149253731343,0.358208955223881,0.291044776119403,0.350746268656716,0.294776119402985,0.485074626865672,0.220149253731343,0.100746268656716,0.802238805970149,0.0970149253731343,0.514925373134328,0.242537313432836,0.242537313432836,0.455223880597015,0.32089552238806,0.223880597014925
"2Z5BB",0.35195530726257,0.329608938547486,0.318435754189944,0.368715083798883,0.407821229050279,0.223463687150838,0.357541899441341,0.273743016759777,0.368715083798883,0.324022346368715,0.452513966480447,0.223463687150838,0.0949720670391061,0.754189944134078,0.150837988826816,0.407821229050279,0.268156424581006,0.324022346368715,0.391061452513966,0.35195530726257,0.256983240223464
"4P0TA",0.244318181818182,0.380681818181818,0.375,0.386363636363636,0.409090909090909,0.204545454545455,0.392045454545455,0.318181818181818,0.289772727272727,0.3125,0.482954545454545,0.204545454545455,0.0965909090909091,0.818181818181818,0.0852272727272727,0.494318181818182,0.238636363636364,0.267045454545455,0.488636363636364,0.244318181818182,0.267045454545455
"4K1CA",0.190023752969121,0.389548693586698,0.420427553444181,0.382422802850356,0.422802850356295,0.194774346793349,0.441805225653207,0.342042755344418,0.216152019002375,0.33729216152019,0.467933491686461,0.194774346793349,0.0475059382422803,0.881235154394299,0.0712589073634204,0.413301662707838,0.327790973871734,0.258907363420428,0.551068883610451,0.190023752969121,0.258907363420428
"3VBCA",0.253086419753086,0.382716049382716,0.364197530864198,0.401234567901235,0.364197530864198,0.234567901234568,0.401234567901235,0.302469135802469,0.296296296296296,0.314814814814815,0.450617283950617,0.234567901234568,0.0679012345679012,0.833333333333333,0.0987654320987654,0.450617283950617,0.308641975308642,0.240740740740741,0.475308641975309,0.253086419753086,0.271604938271605
"5UTKA",0.325657894736842,0.394736842105263,0.279605263157895,0.375,0.424342105263158,0.200657894736842,0.315789473684211,0.332236842105263,0.351973684210526,0.292763157894737,0.506578947368421,0.200657894736842,0.0921052631578947,0.799342105263158,0.108552631578947,0.384868421052632,0.286184210526316,0.328947368421053,0.378289473684211,0.325657894736842,0.296052631578947
"3L46A",0.339285714285714,0.357142857142857,0.303571428571429,0.3125,0.366071428571429,0.321428571428571,0.348214285714286,0.25,0.401785714285714,0.241071428571429,0.4375,0.321428571428571,0.0892857142857143,0.741071428571429,0.169642857142857,0.482142857142857,0.258928571428571,0.258928571428571,0.348214285714286,0.339285714285714,0.3125
"3MXOA",0.306930693069307,0.400990099009901,0.292079207920792,0.386138613861386,0.341584158415842,0.272277227722772,0.326732673267327,0.316831683168317,0.356435643564356,0.311881188118812,0.415841584158416,0.272277227722772,0.133663366336634,0.747524752475248,0.118811881188119,0.455445544554455,0.277227722772277,0.267326732673267,0.410891089108911,0.306930693069307,0.282178217821782
"3QIKA",0.405940594059406,0.237623762376238,0.356435643564356,0.267326732673267,0.495049504950495,0.237623762376238,0.376237623762376,0.217821782178218,0.405940594059406,0.227722772277228,0.534653465346535,0.237623762376238,0.168316831683168,0.702970297029703,0.128712871287129,0.504950495049505,0.247524752475248,0.247524752475248,0.465346534653465,0.405940594059406,0.128712871287129
"6WUDB",0.4,0.290909090909091,0.309090909090909,0.363636363636364,0.4,0.236363636363636,0.327272727272727,0.272727272727273,0.4,0.327272727272727,0.436363636363636,0.236363636363636,0.0727272727272727,0.745454545454545,0.181818181818182,0.309090909090909,0.345454545454545,0.345454545454545,0.436363636363636,0.4,0.163636363636364
"2F6MB",0.385321100917431,0.321100917431193,0.293577981651376,0.339449541284404,0.431192660550459,0.229357798165138,0.339449541284404,0.247706422018349,0.412844036697248,0.330275229357798,0.440366972477064,0.229357798165138,0.100917431192661,0.724770642201835,0.174311926605505,0.403669724770642,0.330275229357798,0.26605504587156,0.357798165137615,0.385321100917431,0.256880733944954
"6R2WL",0.363636363636364,0.34965034965035,0.286713286713287,0.454545454545455,0.335664335664336,0.20979020979021,0.321678321678322,0.293706293706294,0.384615384615385,0.307692307692308,0.482517482517482,0.20979020979021,0.104895104895105,0.72027972027972,0.174825174825175,0.412587412587413,0.293706293706294,0.293706293706294,0.412587412587413,0.363636363636364,0.223776223776224
"2Y9MB",0.338461538461538,0.315384615384615,0.346153846153846,0.415384615384615,0.330769230769231,0.253846153846154,0.361538461538462,0.284615384615385,0.353846153846154,0.353846153846154,0.392307692307692,0.253846153846154,0.138461538461538,0.715384615384615,0.146153846153846,0.384615384615385,0.307692307692308,0.307692307692308,0.446153846153846,0.338461538461538,0.215384615384615
"4KMDA",0.259009009009009,0.448198198198198,0.292792792792793,0.434684684684685,0.333333333333333,0.231981981981982,0.317567567567568,0.371621621621622,0.310810810810811,0.331081081081081,0.436936936936937,0.231981981981982,0.0720720720720721,0.797297297297297,0.130630630630631,0.414414414414414,0.254504504504505,0.331081081081081,0.40990990990991,0.259009009009009,0.331081081081081
"2GUZB",0.492307692307692,0.215384615384615,0.292307692307692,0.246153846153846,0.430769230769231,0.323076923076923,0.338461538461538,0.169230769230769,0.492307692307692,0.230769230769231,0.446153846153846,0.323076923076923,0.184615384615385,0.630769230769231,0.184615384615385,0.523076923076923,0.215384615384615,0.261538461538462,0.353846153846154,0.492307692307692,0.153846153846154
"2WP7A",0.255952380952381,0.422619047619048,0.321428571428571,0.416666666666667,0.386904761904762,0.196428571428571,0.357142857142857,0.369047619047619,0.273809523809524,0.321428571428571,0.482142857142857,0.196428571428571,0.0654761904761905,0.827380952380952,0.107142857142857,0.339285714285714,0.285714285714286,0.375,0.43452380952381,0.255952380952381,0.30952380952381
"4ENZA",0.31924882629108,0.393427230046948,0.287323943661972,0.371830985915493,0.339906103286385,0.288262910798122,0.347417840375587,0.294835680751174,0.357746478873239,0.310798122065728,0.40093896713615,0.288262910798122,0.0995305164319249,0.76150234741784,0.138967136150235,0.385915492957746,0.324882629107981,0.289201877934272,0.384037558685446,0.31924882629108,0.296713615023474
"3FWCB",0.411764705882353,0.270588235294118,0.317647058823529,0.270588235294118,0.4,0.329411764705882,0.364705882352941,0.211764705882353,0.423529411764706,0.270588235294118,0.4,0.329411764705882,0.176470588235294,0.670588235294118,0.152941176470588,0.482352941176471,0.305882352941176,0.211764705882353,0.364705882352941,0.411764705882353,0.223529411764706
"5BOWA",0.311258278145695,0.397350993377483,0.291390728476821,0.437086092715232,0.344370860927152,0.218543046357616,0.33112582781457,0.357615894039735,0.311258278145695,0.33112582781457,0.450331125827815,0.218543046357616,0.0993377483443709,0.768211920529801,0.132450331125828,0.437086092715232,0.28476821192053,0.278145695364238,0.450331125827815,0.311258278145695,0.23841059602649
"1IO0A",0.389189189189189,0.302702702702703,0.308108108108108,0.324324324324324,0.481081081081081,0.194594594594595,0.324324324324324,0.281081081081081,0.394594594594595,0.264864864864865,0.540540540540541,0.194594594594595,0.113513513513514,0.772972972972973,0.113513513513514,0.437837837837838,0.237837837837838,0.324324324324324,0.372972972972973,0.389189189189189,0.237837837837838
"6ONBA",0.336,0.392,0.272,0.368,0.384,0.248,0.304,0.288,0.408,0.28,0.472,0.248,0.104,0.768,0.128,0.472,0.272,0.256,0.384,0.336,0.28
"2OBDA",0.271008403361345,0.352941176470588,0.376050420168067,0.373949579831933,0.399159663865546,0.226890756302521,0.397058823529412,0.304621848739496,0.298319327731092,0.329831932773109,0.44327731092437,0.226890756302521,0.0798319327731092,0.810924369747899,0.109243697478992,0.401260504201681,0.32563025210084,0.273109243697479,0.460084033613445,0.271008403361345,0.26890756302521
"4QAMB",0.36318407960199,0.333333333333333,0.303482587064677,0.368159203980099,0.402985074626866,0.228855721393035,0.343283582089552,0.27363184079602,0.383084577114428,0.298507462686567,0.472636815920398,0.228855721393035,0.0945273631840796,0.706467661691542,0.199004975124378,0.472636815920398,0.253731343283582,0.27363184079602,0.378109452736318,0.36318407960199,0.258706467661692
"3OSTA",0.3359375,0.3046875,0.359375,0.25,0.4296875,0.3203125,0.375,0.2265625,0.3984375,0.21875,0.4609375,0.3203125,0.171875,0.7421875,0.0859375,0.515625,0.2578125,0.2265625,0.421875,0.3359375,0.2421875
"7KPUA",0.367647058823529,0.303921568627451,0.32843137254902,0.357843137254902,0.338235294117647,0.303921568627451,0.362745098039216,0.254901960784314,0.382352941176471,0.299019607843137,0.397058823529412,0.303921568627451,0.132352941176471,0.705882352941177,0.161764705882353,0.465686274509804,0.28921568627451,0.245098039215686,0.411764705882353,0.367647058823529,0.220588235294118
"6HFGB",0.292517006802721,0.374149659863946,0.333333333333333,0.401360544217687,0.380952380952381,0.217687074829932,0.346938775510204,0.353741496598639,0.299319727891156,0.346938775510204,0.435374149659864,0.217687074829932,0.0952380952380952,0.802721088435374,0.102040816326531,0.428571428571429,0.285714285714286,0.285714285714286,0.442176870748299,0.292517006802721,0.26530612244898
"3IVVA",0.358620689655172,0.296551724137931,0.344827586206897,0.358620689655172,0.337931034482759,0.303448275862069,0.372413793103448,0.268965517241379,0.358620689655172,0.310344827586207,0.386206896551724,0.303448275862069,0.158620689655172,0.703448275862069,0.137931034482759,0.420689655172414,0.275862068965517,0.303448275862069,0.441379310344828,0.358620689655172,0.2
"2R16A",0.324175824175824,0.362637362637363,0.313186813186813,0.379120879120879,0.357142857142857,0.263736263736264,0.346153846153846,0.302197802197802,0.351648351648352,0.351648351648352,0.384615384615385,0.263736263736264,0.115384615384615,0.763736263736264,0.120879120879121,0.434065934065934,0.28021978021978,0.285714285714286,0.417582417582418,0.324175824175824,0.258241758241758
"1PYTA",0.382978723404255,0.287234042553192,0.329787234042553,0.319148936170213,0.457446808510638,0.223404255319149,0.340425531914894,0.24468085106383,0.414893617021277,0.265957446808511,0.51063829787234,0.223404255319149,0.0957446808510638,0.712765957446808,0.191489361702128,0.521276595744681,0.24468085106383,0.234042553191489,0.425531914893617,0.382978723404255,0.191489361702128
"2Q6QA",0.540540540540541,0.162162162162162,0.297297297297297,0.202702702702703,0.5,0.297297297297297,0.310810810810811,0.148648648648649,0.540540540540541,0.189189189189189,0.513513513513513,0.297297297297297,0.216216216216216,0.608108108108108,0.175675675675676,0.594594594594595,0.202702702702703,0.202702702702703,0.324324324324324,0.540540540540541,0.135135135135135
"6VIGA",0.26615969581749,0.349809885931559,0.384030418250951,0.307984790874525,0.4106463878327,0.281368821292776,0.406844106463878,0.254752851711027,0.338403041825095,0.269961977186312,0.448669201520913,0.281368821292776,0.0836501901140684,0.806083650190114,0.110266159695817,0.555133079847909,0.20532319391635,0.239543726235741,0.418250950570342,0.26615969581749,0.315589353612167
"6TUNC",0.558441558441558,0.142857142857143,0.298701298701299,0.181818181818182,0.519480519480519,0.298701298701299,0.337662337662338,0.103896103896104,0.558441558441558,0.155844155844156,0.545454545454545,0.298701298701299,0.207792207792208,0.571428571428571,0.220779220779221,0.480519480519481,0.285714285714286,0.233766233766234,0.298701298701299,0.558441558441558,0.142857142857143
"5Y59B",0.366834170854271,0.28643216080402,0.346733668341709,0.341708542713568,0.452261306532663,0.206030150753769,0.371859296482412,0.251256281407035,0.376884422110553,0.291457286432161,0.50251256281407,0.206030150753769,0.105527638190955,0.758793969849246,0.135678391959799,0.407035175879397,0.311557788944724,0.281407035175879,0.366834170854271,0.366834170854271,0.266331658291457
"4ROCA",0.308333333333333,0.369444444444444,0.322222222222222,0.4,0.386111111111111,0.213888888888889,0.347222222222222,0.330555555555556,0.322222222222222,0.294444444444444,0.491666666666667,0.213888888888889,0.122222222222222,0.783333333333333,0.0944444444444444,0.494444444444444,0.247222222222222,0.258333333333333,0.438888888888889,0.308333333333333,0.252777777777778
"5WRIA",0.284375,0.384375,0.33125,0.36875,0.325,0.30625,0.3625,0.303125,0.334375,0.290625,0.403125,0.30625,0.134375,0.76875,0.096875,0.471875,0.253125,0.275,0.40625,0.284375,0.309375
"6NYQC",0.207920792079208,0.450495049504951,0.341584158415842,0.457920792079208,0.344059405940594,0.198019801980198,0.363861386138614,0.408415841584158,0.227722772277228,0.346534653465347,0.455445544554455,0.198019801980198,0.0495049504950495,0.886138613861386,0.0643564356435644,0.383663366336634,0.257425742574257,0.358910891089109,0.487623762376238,0.207920792079208,0.304455445544554
"6IKNA",0.441087613293051,0.283987915407855,0.274924471299094,0.290030211480363,0.398791540785498,0.311178247734139,0.293051359516616,0.220543806646526,0.486404833836858,0.24773413897281,0.441087613293051,0.311178247734139,0.166163141993958,0.664652567975831,0.169184290030211,0.59214501510574,0.211480362537764,0.196374622356495,0.326283987915408,0.441087613293051,0.232628398791541
"3F1IC",0.415584415584416,0.233766233766234,0.350649350649351,0.324675324675325,0.454545454545455,0.220779220779221,0.363636363636364,0.181818181818182,0.454545454545455,0.25974025974026,0.519480519480519,0.220779220779221,0.0779220779220779,0.675324675324675,0.246753246753247,0.584415584415584,0.12987012987013,0.285714285714286,0.311688311688312,0.415584415584416,0.272727272727273
"2CJTA",0.312977099236641,0.320610687022901,0.366412213740458,0.374045801526718,0.389312977099237,0.236641221374046,0.374045801526718,0.297709923664122,0.32824427480916,0.32824427480916,0.435114503816794,0.236641221374046,0.099236641221374,0.770992366412214,0.129770992366412,0.396946564885496,0.33587786259542,0.267175572519084,0.465648854961832,0.312977099236641,0.221374045801527
"2PQRC",0.328125,0.40625,0.265625,0.375,0.375,0.25,0.296875,0.34375,0.359375,0.328125,0.421875,0.25,0.09375,0.828125,0.078125,0.453125,0.25,0.296875,0.421875,0.328125,0.25
"6J8YA",0.274074074074074,0.362962962962963,0.362962962962963,0.403703703703704,0.366666666666667,0.22962962962963,0.377777777777778,0.322222222222222,0.3,0.32962962962963,0.440740740740741,0.22962962962963,0.103703703703704,0.788888888888889,0.107407407407407,0.485185185185185,0.259259259259259,0.255555555555556,0.492592592592593,0.274074074074074,0.233333333333333
"1GS9A",0.448484848484848,0.278787878787879,0.272727272727273,0.290909090909091,0.466666666666667,0.242424242424242,0.296969696969697,0.248484848484848,0.454545454545455,0.272727272727273,0.484848484848485,0.242424242424242,0.157575757575758,0.660606060606061,0.181818181818182,0.678787878787879,0.16969696969697,0.151515151515152,0.381818181818182,0.448484848484848,0.16969696969697
"4L0NA",0.470588235294118,0.196078431372549,0.333333333333333,0.274509803921569,0.392156862745098,0.333333333333333,0.352941176470588,0.176470588235294,0.470588235294118,0.235294117647059,0.431372549019608,0.333333333333333,0.176470588235294,0.607843137254902,0.215686274509804,0.686274509803922,0.117647058823529,0.196078431372549,0.313725490196078,0.470588235294118,0.215686274509804
"5C40A",0.263636363636364,0.421212121212121,0.315151515151515,0.436363636363636,0.378787878787879,0.184848484848485,0.339393939393939,0.36969696969697,0.290909090909091,0.375757575757576,0.439393939393939,0.184848484848485,0.0727272727272727,0.824242424242424,0.103030303030303,0.436363636363636,0.3,0.263636363636364,0.487878787878788,0.263636363636364,0.248484848484848
"1R6JA",0.25609756097561,0.414634146341463,0.329268292682927,0.451219512195122,0.353658536585366,0.195121951219512,0.329268292682927,0.378048780487805,0.292682926829268,0.414634146341463,0.390243902439024,0.195121951219512,0.0853658536585366,0.829268292682927,0.0853658536585366,0.317073170731707,0.353658536585366,0.329268292682927,0.451219512195122,0.25609756097561,0.292682926829268
"6SB1A",0.274576271186441,0.4,0.325423728813559,0.447457627118644,0.325423728813559,0.227118644067797,0.352542372881356,0.342372881355932,0.305084745762712,0.332203389830508,0.440677966101695,0.227118644067797,0.0847457627118644,0.820338983050847,0.0949152542372881,0.345762711864407,0.328813559322034,0.325423728813559,0.447457627118644,0.274576271186441,0.277966101694915
"7A3FA",0.300668151447661,0.39532293986637,0.304008908685969,0.365256124721604,0.349665924276169,0.285077951002227,0.347438752783964,0.306236080178174,0.346325167037862,0.288418708240535,0.426503340757238,0.285077951002227,0.10467706013363,0.773942093541203,0.121380846325167,0.435412026726058,0.283964365256125,0.280623608017817,0.410913140311804,0.300668151447661,0.288418708240535
"4YU8A",0.258992805755396,0.381294964028777,0.359712230215827,0.431654676258993,0.381294964028777,0.18705035971223,0.37410071942446,0.330935251798561,0.294964028776978,0.280575539568345,0.532374100719424,0.18705035971223,0.0719424460431655,0.820143884892086,0.107913669064748,0.438848920863309,0.280575539568345,0.280575539568345,0.467625899280576,0.258992805755396,0.273381294964029
"6W4KB",0.424242424242424,0.265151515151515,0.310606060606061,0.295454545454545,0.46969696969697,0.234848484848485,0.333333333333333,0.242424242424242,0.424242424242424,0.257575757575758,0.507575757575758,0.234848484848485,0.143939393939394,0.71969696969697,0.136363636363636,0.492424242424242,0.287878787878788,0.21969696969697,0.416666666666667,0.424242424242424,0.159090909090909
"2ZPTX",0.355932203389831,0.301694915254237,0.342372881355932,0.294915254237288,0.369491525423729,0.335593220338983,0.396610169491525,0.227118644067797,0.376271186440678,0.230508474576271,0.433898305084746,0.335593220338983,0.132203389830508,0.711864406779661,0.155932203389831,0.416949152542373,0.322033898305085,0.261016949152542,0.366101694915254,0.355932203389831,0.277966101694915
"3T6QC",0.337931034482759,0.358620689655172,0.303448275862069,0.393103448275862,0.406896551724138,0.2,0.351724137931034,0.296551724137931,0.351724137931034,0.303448275862069,0.496551724137931,0.2,0.0827586206896552,0.8,0.117241379310345,0.386206896551724,0.275862068965517,0.337931034482759,0.427586206896552,0.337931034482759,0.23448275862069
"4CVOA",0.392405063291139,0.30379746835443,0.30379746835443,0.367088607594937,0.518987341772152,0.113924050632911,0.329113924050633,0.265822784810127,0.40506329113924,0.329113924050633,0.556962025316456,0.113924050632911,0.0632911392405063,0.759493670886076,0.177215189873418,0.493670886075949,0.227848101265823,0.278481012658228,0.392405063291139,0.392405063291139,0.215189873417722
"1XIWB",0.354430379746835,0.278481012658228,0.367088607594937,0.367088607594937,0.40506329113924,0.227848101265823,0.40506329113924,0.227848101265823,0.367088607594937,0.291139240506329,0.481012658227848,0.227848101265823,0.126582278481013,0.708860759493671,0.164556962025316,0.354430379746835,0.379746835443038,0.265822784810127,0.40506329113924,0.354430379746835,0.240506329113924
"4ZGYB",0.311111111111111,0.377777777777778,0.311111111111111,0.362962962962963,0.325925925925926,0.311111111111111,0.333333333333333,0.288888888888889,0.377777777777778,0.303703703703704,0.385185185185185,0.311111111111111,0.125925925925926,0.740740740740741,0.133333333333333,0.466666666666667,0.266666666666667,0.266666666666667,0.422222222222222,0.311111111111111,0.266666666666667
"5UUKA",0.368421052631579,0.269736842105263,0.361842105263158,0.302631578947368,0.447368421052632,0.25,0.394736842105263,0.236842105263158,0.368421052631579,0.25,0.5,0.25,0.111842105263158,0.763157894736842,0.125,0.381578947368421,0.355263157894737,0.263157894736842,0.453947368421053,0.368421052631579,0.177631578947368
"2Z84A",0.224770642201835,0.467889908256881,0.307339449541284,0.454128440366972,0.298165137614679,0.247706422018349,0.348623853211009,0.362385321100917,0.288990825688073,0.339449541284404,0.412844036697248,0.247706422018349,0.0779816513761468,0.825688073394495,0.0963302752293578,0.412844036697248,0.243119266055046,0.344036697247706,0.5,0.224770642201835,0.275229357798165
"6G7WA",0.297222222222222,0.402777777777778,0.3,0.416666666666667,0.363888888888889,0.219444444444444,0.316666666666667,0.344444444444444,0.338888888888889,0.361111111111111,0.419444444444444,0.219444444444444,0.0916666666666667,0.797222222222222,0.111111111111111,0.375,0.283333333333333,0.341666666666667,0.441666666666667,0.297222222222222,0.261111111111111
"7KQQA",0.304761904761905,0.374603174603175,0.320634920634921,0.438095238095238,0.346031746031746,0.215873015873016,0.33015873015873,0.336507936507937,0.333333333333333,0.380952380952381,0.403174603174603,0.215873015873016,0.104761904761905,0.749206349206349,0.146031746031746,0.447619047619048,0.247619047619048,0.304761904761905,0.476190476190476,0.304761904761905,0.219047619047619
"4WY4C",0.423076923076923,0.320512820512821,0.256410256410256,0.333333333333333,0.397435897435897,0.269230769230769,0.282051282051282,0.282051282051282,0.435897435897436,0.333333333333333,0.397435897435897,0.269230769230769,0.179487179487179,0.666666666666667,0.153846153846154,0.602564102564103,0.192307692307692,0.205128205128205,0.346153846153846,0.423076923076923,0.230769230769231
"4COFA",0.259154929577465,0.366197183098592,0.374647887323944,0.363380281690141,0.357746478873239,0.27887323943662,0.436619718309859,0.292957746478873,0.270422535211268,0.307042253521127,0.414084507042254,0.27887323943662,0.0929577464788732,0.811267605633803,0.0957746478873239,0.36056338028169,0.383098591549296,0.256338028169014,0.456338028169014,0.259154929577465,0.284507042253521
